CUSTOMER_ID,FIRST_NAME,SURNAME,ADDRESS,PHONE_NUM,EMAIL
11011,Bob,Smith,18 Water rd,0877277521,bobs@isat.com
11012,Sam,Hendricks,22 Water rd,0863257857,shen@mcom.co.za
11013,Larry,Clark,101 Summer lane,0834567891,larc@mcom.co.za
11014,Jeff,Jones,55 Mountain way,0612547895,jj@isat.co.za
11015,Andre,Kerk,5 Main rd,0827238521,akerk@mcal.co.za
11016,Wayne,Smith,13 Water rd,0877277522,ws@isat.com
11017,John,Hendricks,29 Water rd,0863257851,jhen@mcom.co.za
11018,Sally,Clark,111 Summer lane,0834567892,sallyc@mcom.co.za
11019,Bridget,Bitterhour,125 Mountain way,0612547896,bb@isat.co.za
11111,Nicole,Kerk,175 Main rd,0827238529,nk@mcal.co.za
11112,Catherine,Smith,19 Water rd,0877277523,cath@isat.com
11113,Mel,Hendricks,5 Water rd,0863257852,melh@mcom.co.za
11114,Lucy,Du Plessis,221 Summer lane,0834567892,ldup@mcom.co.za
11116,Josh,Maverick,155 Mountain way,0612547897,joshm@isat.co.za
11117,Stuart,Jones,35 Main rd,0827238521,sjones@mcal.co.za
