STAFF_ID,FIRST_NAME,SURNAME,POSITION,PHONE_NUM,ADDRESS,EMAIL
51011,Sally,Du Toit,Logistics,0825698547,18 Main rd,sdut@isat.com
51012,Mark,Wright,CRM,0836984178,12 Cape Way,mwright@isat.com
51013,Harry,Sheen,Logistics,0725648965,15 Water Street,hsheen@isat.com
51014,Jabu,Xolani,Logistics,0823116598,18 White Lane,jxo@isat.com
51015,Roberto,Henry,Packaging,0783521451,55 Cape Street,rhenry@isat.com
51016,Pat,Durant,Logistics,0825698542,1 Main rd,pd@isat.com
51017,Steve,Maritz,CRM,0836984173,2 Cape Way,sm@isat.com
51018,Maxwell,Dube,Logistics,0725648964,5 Water Street,max@isat.com
51019,Shane,Mane,Logistics,0823116595,8 White Lane,smane@isat.com
51111,Bob,Truth,Packaging,0783521456,35 Cape Street,btruth@isat.com
